biosample	assembly_accession	host	bioproject	infraspecific_name	assembly_level	genome_rep	ftp_path
SAMN12325110	GCA_008370815.1	Homo sapiens	PRJNA555368	strain=16445	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/370/815/GCA_008370815.1_ASM837081v1
SAMN12325109	GCA_008370795.1	Homo sapiens	PRJNA555368	strain=16439	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/370/795/GCA_008370795.1_ASM837079v1
SAMN12316826	GCA_008370315.1	Homo sapiens	PRJNA555368	strain=15100	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/370/315/GCA_008370315.1_ASM837031v1
SAMN12325113	GCA_008364145.1	Homo sapiens	PRJNA555368	strain=15050	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/364/145/GCA_008364145.1_ASM836414v1
SAMN12325112	GCA_008364175.1	Homo sapiens	PRJNA555368	strain=15077	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/364/175/GCA_008364175.1_ASM836417v1
SAMN12325111	GCA_008364195.1	Homo sapiens	PRJNA555368	strain=16514	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/364/195/GCA_008364195.1_ASM836419v1
SAMN12722008	GCA_008630675.1	Homo sapiens	PRJNA564764	strain=GHA13	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/675/GCA_008630675.1_ASM863067v1
SAMN12722007	GCA_008630695.1	Homo sapiens	PRJNA564764	strain=GHA12	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/695/GCA_008630695.1_ASM863069v1
SAMN12722006	GCA_008630715.1	Homo sapiens	PRJNA564764	strain=GHA11	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/715/GCA_008630715.1_ASM863071v1
SAMN12722005	GCA_008694165.1	Homo sapiens	PRJNA564764	strain=GHA10	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/694/165/GCA_008694165.1_ASM869416v1
SAMN12722004	GCA_008630735.1	Homo sapiens	PRJNA564764	strain=GHA9	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/735/GCA_008630735.1_ASM863073v1
SAMN12722003	GCA_008694145.1	Homo sapiens	PRJNA564764	strain=GHA8	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/694/145/GCA_008694145.1_ASM869414v1
SAMN12722002	GCA_008630815.1	Homo sapiens	PRJNA564764	strain=GHA7	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/815/GCA_008630815.1_ASM863081v1
SAMN12722001	GCA_008630755.1	Homo sapiens	PRJNA564764	strain=GHA6	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/755/GCA_008630755.1_ASM863075v1
SAMN12722000	GCA_008630775.1	Homo sapiens	PRJNA564764	strain=GHA5	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/775/GCA_008630775.1_ASM863077v1
SAMN12721999	GCA_008630795.1	Homo sapiens	PRJNA564764	strain=GHA4	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/795/GCA_008630795.1_ASM863079v1
SAMN12721998	GCA_008630835.1	Homo sapiens	PRJNA564764	strain=GHA3	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/835/GCA_008630835.1_ASM863083v1
SAMN12721997	GCA_008630855.1	Homo sapiens	PRJNA564764	strain=GHA2	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/855/GCA_008630855.1_ASM863085v1
SAMN12721996	GCA_008630875.1	Homo sapiens	PRJNA564764	strain=GHA1	Chromosome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/875/GCA_008630875.1_ASM863087v1
SAMN11431687	GCA_008330045.1	Homo sapiens	PRJNA533010	strain=VGC1	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/330/045/GCA_008330045.1_ASM833004v1
SAMN10134345	GCA_008373875.1	Homo sapiens	PRJNA506988	strain=LK34	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/373/875/GCA_008373875.1_ASM837387v1
SAMN10134344	GCA_008373855.1	Homo sapiens	PRJNA506988	strain=LK35	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/373/855/GCA_008373855.1_ASM837385v1
SAMN11157689	GCA_008244705.1	Homo sapiens	PRJNA527676	strain=NRS384	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/244/705/GCA_008244705.1_ASM824470v1
SAMN12622398	GCA_008123495.1	Homo sapiens	PRJNA561624	strain=TX0117	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/495/GCA_008123495.1_ASM812349v1
SAMN12618723	GCA_008123355.1	horse	PRJNA561466	strain=IMT41899	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/355/GCA_008123355.1_ASM812335v1
SAMN12618722	GCA_008123865.1	horse	PRJNA561466	strain=IMT43240	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/865/GCA_008123865.1_ASM812386v1
SAMN12618721	GCA_008123845.1	horse	PRJNA561466	strain=IMT43231	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/845/GCA_008123845.1_ASM812384v1
SAMN12618720	GCA_008123815.1	horse	PRJNA561466	strain=IMT43228	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/815/GCA_008123815.1_ASM812381v1
SAMN12618719	GCA_008123345.1	horse	PRJNA561466	strain=IMT41468	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/345/GCA_008123345.1_ASM812334v1
SAMN12618718	GCA_008123805.1	horse	PRJNA561466	strain=IMT41452	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/805/GCA_008123805.1_ASM812380v1
SAMN12618717	GCA_008123635.1	horse	PRJNA561466	strain=IMT40952	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/635/GCA_008123635.1_ASM812363v1
SAMN12618716	GCA_008123765.1	horse	PRJNA561466	strain=IMT40820	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/765/GCA_008123765.1_ASM812376v1
SAMN12618715	GCA_008123575.1	horse	PRJNA561466	strain=IMT40768	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/575/GCA_008123575.1_ASM812357v1
SAMN12618714	GCA_008123775.1	horse	PRJNA561466	strain=IMT39841	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/775/GCA_008123775.1_ASM812377v1
SAMN12618713	GCA_008123655.1	horse	PRJNA561466	strain=IMT39233	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/655/GCA_008123655.1_ASM812365v1
SAMN12618712	GCA_008123625.1	horse	PRJNA561466	strain=IMT37728	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/625/GCA_008123625.1_ASM812362v1
SAMN12618711	GCA_008123665.1	horse	PRJNA561466	strain=IMT37410	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/665/GCA_008123665.1_ASM812366v1
SAMN12618710	GCA_008123595.1	horse	PRJNA561466	strain=IMT37341	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/595/GCA_008123595.1_ASM812359v1
SAMN12618709	GCA_008123735.1	horse	PRJNA561466	strain=IMT37083	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/735/GCA_008123735.1_ASM812373v1
SAMN12618708	GCA_008123695.1	horse	PRJNA561466	strain=IMT39637	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/695/GCA_008123695.1_ASM812369v1
SAMN12618707	GCA_008123715.1	horse	PRJNA561466	strain=IMT39701	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/715/GCA_008123715.1_ASM812371v1
SAMN12618706	GCA_008123905.1	horse	PRJNA561466	strain=IMT39173	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/905/GCA_008123905.1_ASM812390v1
SAMN12618705	GCA_008123885.1	horse	PRJNA561466	strain=IMT39129	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/123/885/GCA_008123885.1_ASM812388v1
SAMN03255481	GCA_001019535.2	Homo sapiens	PRJNA231221	strain=Mw2	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/019/535/GCA_001019535.2_ASM101953v2
SAMN12612975	GCA_008121315.1	Homo sapiens	PRJNA561287	strain=SA17	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/121/315/GCA_008121315.1_ASM812131v1
SAMN12570111	GCA_008040175.1	Homo sapiens	PRJNA560164	strain=9588-CA	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/175/GCA_008040175.1_ASM804017v1
SAMN12570110	GCA_008040205.1	Homo sapiens	PRJNA560164	strain=9336-HA	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/205/GCA_008040205.1_ASM804020v1
SAMN12570109	GCA_008040225.1	Homo sapiens	PRJNA560164	strain=NP80	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/225/GCA_008040225.1_ASM804022v1
SAMN12570108	GCA_008040235.1	Homo sapiens	PRJNA560164	strain=NP71	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/235/GCA_008040235.1_ASM804023v1
SAMN12570107	GCA_008040245.1	Homo sapiens	PRJNA560164	strain=NP7	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/245/GCA_008040245.1_ASM804024v1
SAMN12570106	GCA_008040255.1	Homo sapiens	PRJNA560164	strain=NP6	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/255/GCA_008040255.1_ASM804025v1
SAMN12570105	GCA_008040295.1	Homo sapiens	PRJNA560164	strain=NP46	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/295/GCA_008040295.1_ASM804029v1
SAMN12570104	GCA_008040335.1	Homo sapiens	PRJNA560164	strain=NP45	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/335/GCA_008040335.1_ASM804033v1
SAMN12570103	GCA_008040325.1	Homo sapiens	PRJNA560164	strain=NP35	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/325/GCA_008040325.1_ASM804032v1
SAMN12570102	GCA_008040345.1	Homo sapiens	PRJNA560164	strain=NP28	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/345/GCA_008040345.1_ASM804034v1
SAMN12570101	GCA_008040355.1	Homo sapiens	PRJNA560164	strain=NP2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/355/GCA_008040355.1_ASM804035v1
SAMN12570100	GCA_008040465.1	Homo sapiens	PRJNA560164	strain=NP17	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/465/GCA_008040465.1_ASM804046v1
SAMN12570099	GCA_008040415.1	Homo sapiens	PRJNA560164	strain=DRKM7	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/415/GCA_008040415.1_ASM804041v1
SAMN12570098	GCA_008040425.1	Homo sapiens	PRJNA560164	strain=DRKM4	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/425/GCA_008040425.1_ASM804042v1
SAMN12570097	GCA_008040485.1	Homo sapiens	PRJNA560164	strain=DRKM31	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/485/GCA_008040485.1_ASM804048v1
SAMN12570096	GCA_008040495.1	Homo sapiens	PRJNA560164	strain=DRKM30	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/495/GCA_008040495.1_ASM804049v1
SAMN12570095	GCA_008040435.1	Homo sapiens	PRJNA560164	strain=DRKM28	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/435/GCA_008040435.1_ASM804043v1
SAMN12570094	GCA_008040515.1	Homo sapiens	PRJNA560164	strain=DRKM2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/515/GCA_008040515.1_ASM804051v1
SAMN12570093	GCA_008040525.1	Homo sapiens	PRJNA560164	strain=DRKM17	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/525/GCA_008040525.1_ASM804052v1
SAMN12570092	GCA_008040555.1	Homo sapiens	PRJNA560164	strain=DRKM11	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/555/GCA_008040555.1_ASM804055v1
SAMN12570091	GCA_008040585.1	Homo sapiens	PRJNA560164	strain=DRKM1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/585/GCA_008040585.1_ASM804058v1
SAMN12496423	GCA_008079395.1	Homo sapiens	PRJNA558684	strain=ST612WAHCW3	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/395/GCA_008079395.1_ASM807939v1
SAMN12496422	GCA_008079415.1	Homo sapiens	PRJNA558684	strain=ST612WAHCW2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/415/GCA_008079415.1_ASM807941v1
SAMN12496421	GCA_008079405.1	Homo sapiens	PRJNA558684	strain=ST612WAHCW1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/405/GCA_008079405.1_ASM807940v1
SAMN12496420	GCA_008079425.1	Homo sapiens	PRJNA558684	strain=ST612WAP10	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/425/GCA_008079425.1_ASM807942v1
SAMN12496419	GCA_008079505.1	Homo sapiens	PRJNA558684	strain=ST612WAP9	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/505/GCA_008079505.1_ASM807950v1
SAMN12496418	GCA_008079495.1	Homo sapiens	PRJNA558684	strain=ST612WAP8	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/495/GCA_008079495.1_ASM807949v1
SAMN12496417	GCA_008079525.1	Homo sapiens	PRJNA558684	strain=ST612WAP7	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/525/GCA_008079525.1_ASM807952v1
SAMN12496416	GCA_008079515.1	Homo sapiens	PRJNA558684	strain=ST612WAP6	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/515/GCA_008079515.1_ASM807951v1
SAMN12496415	GCA_008079565.1	Homo sapiens	PRJNA558684	strain=ST612WAP5	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/565/GCA_008079565.1_ASM807956v1
SAMN12496414	GCA_008079585.1	Homo sapiens	PRJNA558684	strain=ST612WAP4	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/585/GCA_008079585.1_ASM807958v1
SAMN12496413	GCA_008079625.1	Homo sapiens	PRJNA558684	strain=ST612WAP3	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/625/GCA_008079625.1_ASM807962v1
SAMN12496412	GCA_008079615.1	Homo sapiens	PRJNA558684	strain=ST612WAP2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/615/GCA_008079615.1_ASM807961v1
SAMN12496411	GCA_008079635.1	Homo sapiens	PRJNA558684	strain=ST612WAP1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/635/GCA_008079635.1_ASM807963v1
SAMN12496410	GCA_008079675.1	Homo sapiens	PRJNA558684	strain=ST612SAUS_V3	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/675/GCA_008079675.1_ASM807967v1
SAMN12496409	GCA_008079695.1	Homo sapiens	PRJNA558684	strain=ST612SAUS_V2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/695/GCA_008079695.1_ASM807969v1
SAMN12496408	GCA_008079685.1	Homo sapiens	PRJNA558684	strain=ST612SAUS_V1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/685/GCA_008079685.1_ASM807968v1
SAMN12496407	GCA_008079715.1	Homo sapiens	PRJNA558684	strain=THW-380	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/715/GCA_008079715.1_ASM807971v1
SAMN12496406	GCA_008079745.1	Homo sapiens	PRJNA558684	strain=THW-371	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/745/GCA_008079745.1_ASM807974v1
SAMN12496405	GCA_008079765.1	Homo sapiens	PRJNA558684	strain=THW-263	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/765/GCA_008079765.1_ASM807976v1
SAMN12496404	GCA_008079805.1	Homo sapiens	PRJNA558684	strain=THW-93	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/805/GCA_008079805.1_ASM807980v1
SAMN12496403	GCA_008079785.1	Homo sapiens	PRJNA558684	strain=THW-70	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/785/GCA_008079785.1_ASM807978v1
SAMN12496402	GCA_008079815.1	Homo sapiens	PRJNA558684	strain=TKN-119	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/815/GCA_008079815.1_ASM807981v1
SAMN12496401	GCA_008079835.1	Homo sapiens	PRJNA558684	strain=TKN-92	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/835/GCA_008079835.1_ASM807983v1
SAMN12496400	GCA_008079865.1	Homo sapiens	PRJNA558684	strain=TKN-52	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/865/GCA_008079865.1_ASM807986v1
SAMN12496399	GCA_008079885.1	Homo sapiens	PRJNA558684	strain=ST612NSW_V3	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/885/GCA_008079885.1_ASM807988v1
SAMN12496398	GCA_008079915.1	Homo sapiens	PRJNA558684	strain=ST612NSW_V2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/915/GCA_008079915.1_ASM807991v1
SAMN12496397	GCA_008079895.1	Homo sapiens	PRJNA558684	strain=ST612NSW_V1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/895/GCA_008079895.1_ASM807989v1
SAMN12496396	GCA_008079925.1	Equus caballus	PRJNA558684	strain=ST612NSW24	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/925/GCA_008079925.1_ASM807992v1
SAMN12496395	GCA_008079965.1	Equus caballus	PRJNA558684	strain=ST612NSW23	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/965/GCA_008079965.1_ASM807996v1
SAMN12496394	GCA_008079975.1	Equus caballus	PRJNA558684	strain=ST612NSW22	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/079/975/GCA_008079975.1_ASM807997v1
SAMN12496393	GCA_008080005.1	Equus caballus	PRJNA558684	strain=ST612NSW21	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/005/GCA_008080005.1_ASM808000v1
SAMN12496392	GCA_008080015.1	Equus caballus	PRJNA558684	strain=ST612NSW20	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/015/GCA_008080015.1_ASM808001v1
SAMN12496391	GCA_008080045.1	Equus caballus	PRJNA558684	strain=ST612NSW19	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/045/GCA_008080045.1_ASM808004v1
SAMN12496390	GCA_008080055.1	Equus caballus	PRJNA558684	strain=ST612NSW18	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/055/GCA_008080055.1_ASM808005v1
SAMN12496389	GCA_008080075.1	Equus caballus	PRJNA558684	strain=ST612NSW17	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/075/GCA_008080075.1_ASM808007v1
SAMN12496388	GCA_008080105.1	Equus caballus	PRJNA558684	strain=ST612NSW15	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/105/GCA_008080105.1_ASM808010v1
SAMN12496387	GCA_008080115.1	Equus caballus	PRJNA558684	strain=ST612NSW14	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/115/GCA_008080115.1_ASM808011v1
SAMN12496386	GCA_008080135.1	Equus caballus	PRJNA558684	strain=ST612NSW13	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/135/GCA_008080135.1_ASM808013v1
SAMN12496385	GCA_008080175.1	Equus caballus	PRJNA558684	strain=ST612NSW12	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/175/GCA_008080175.1_ASM808017v1
SAMN12496384	GCA_008080185.1	Equus caballus	PRJNA558684	strain=ST612NSW11	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/185/GCA_008080185.1_ASM808018v1
SAMN12496383	GCA_008080225.1	Equus caballus	PRJNA558684	strain=ST612NSW10	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/225/GCA_008080225.1_ASM808022v1
SAMN12496382	GCA_008080215.1	Equus caballus	PRJNA558684	strain=ST612NSW9	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/080/215/GCA_008080215.1_ASM808021v1
